plot,espnurse,target,N_sob,sob,NHP,HP,NFP,FP,NH1,H1,NF1,F1,NH2,H2,NF2,F2,NH3,H3,NF3,F3,NH4,H4,NF4,F4,NH5,H5,NF5,F5,NH6,H6,NF6,F6,NH7,H7,NF7,F7,NH8,H8,NF8,F8,NH9,H9,NF9,F9
98,jupreta,cating,82,82,23,70,4,6,23,70,3,8,23,68,3,7,20,71,2,7,21,70,3,7,37,32,3,0,20,67,0,0,22,68,0,0,23,69,0,0,22,70,0,0
98,jupreta,aroeira,82,82,35,32,9,12,35,32,8,11,38,34,8,14,37,32,8,11,38,34,6,9,33,31,5,5,36,32,2,2,36,32,1,1,39.5,34,0,0,38,32,0,0
20,jupreta,angico,82,82,33,32,16,10,33,32,10,6,36,30,0,6,30,31,4,0,32,-1,4,-1,32,-1,4,-1,32,-1,3,-1,31,-1,0,-1,32,-1,0,-1,31,-1,0,-1
20,jupreta,cating,82,82,32,22,1,3,32,22,1,3,33,22,7,3,35,26,0,0,31,27,0,0,35,27,0,0,35,27,0,0,35,26,0,0,35,-1,0,-1,35,-1,0,-1
20,jupreta,aroeira,82,25,29,30,11,14,29,30,12,13,30,28,10,4,30,28,4,3,28,28,2,3,19,19,0,0,28,28,0,0,29,28,0,0,29,28,0,0,28,27,0,0
126,jupreta,angico,82,60,26,20,3,10,26,20,3,10,25,22,3,10,26,24,2,8,26,25,2,8,25,24,2,0,25,-1,0,-1,26,-1,0,-1,25,-1,0,-1,27,-1,0,-1
126,jupreta,cating,82,82,27,19,7,2,27,19,6,2,28,19,6,2,28,21,6,2,27,19,2,2,27,19,0,0,28,27,0,0,28,20,0,0,27,19,0,0,27,20,0,0
126,jupreta,aroeira,82,39,28,39,9,9,28,39,8,10,27,36,8,0,27,25,4,0,28,37,1,0,26,37,1,0,26,38,0,0,27,37,0,0,28,37,0,0,27,36,0,0
125,jupreta,angico,82,82,47,30,8,8,47,30,9,7,46,29,8,6,46,30,7,4,49,-1,7,-1,47,-1,7,-1,47,-1,3,-1,48,-1,2,-1,46,-1,1,-1,48,-1,0,-1
125,jupreta,cating,82,82,27,23,1,2,27,23,1,2,20,25,1,2,20,23,1,2,19,25,1,2,18,25,0,1,18,26,0,1,19,26,0,0,19,24,0,0,17,-1,0,-1
125,jupreta,aroeira,82,25,28,28,7,8,28,28,7,6,26,23,0,6,27,26,0,5,26,28,3,2,26,28,3,0,26,28,0,0,26,28,0,0,26,27,0,0,25,27,0,0
25,marmeleiro,angico,82,75,36,30,19,8,36,30,17,7,13,30,36,6,36,28,11,5,36,29,7,1,36,29,4,0,37,30,4,0,35,29,0,0,34,30,0,0,-1,31,-1,0
25,marmeleiro,cating,82,82,25,25,4,4,25,25,4,4,26,23,4,4,28,24,4,4,25,26,3,4,26,27,4,1,25,26,2,0,26,26,1,0,26,26,0,1,25,26,0,0
25,marmeleiro,aroeira,75,82,33,36,11,11,33,36,12,9,34,35,9,9,33,35,9,7,33,35,0,7,33,3,0,1,34,35,0,1,33,36,0,1,34,35,0,1,34,35,0,0
48,marmeleiro,angico,82,82,18,42,5,8,18,42,4,8,17,40,4,5,18,42,0,4,16,44,0,3,16,43,0,3,-1,43,-1,0,-1,43,-1,0,-1,45,-1,0,-1,44,-1,0
48,marmeleiro,cating,82,82,24,24,2,5,24,24,2,4,24,23,2,3,22,26,2,3,23,26,0,2,23,27,1,0,20,27,0,0,23,24,0,0,-1,-1,-1,-1,-1,-1,-1,-1
48,marmeleiro,aroeira,39,82,41,32,10,13,41,32,10,12,38,34,11,13,41,33,11,11,38,34,6,7,39,35,3,4,40,33,3,2,40,34,2,0,39,34,0,0,38,35,0,0
51,marmeleiro,angico,60,60,57,47,14,47,57,47,11,22,58,45,10,0,56,45,9,18,56,45,2,17,55,46,0,1,56,47,0,19,54,43,0,11,55,46,0,0,55,45,0,0
51,marmeleiro,cating,82,82,36,28,2,5,36,28,2,3,37,25,2,2,34,32,2,2,35,32,2,2,35,30,2,1,36,30,1,1,35,30,1,1,35,30,0,0,33,30,0,0
51,marmeleiro,aroeira,82,82,37,24,10,9,37,24,10,10,37,-1,10,-1,36,-1,9,-1,35,-1,2,-1,35,-1,2,-1,34,-1,1,-1,36,-1,1,-1,35,-1,0,-1,35,-1,0,-1
61,marmeleiro,angico,82,82,50,44,11,10,50,44,11,10,48,42,9,8,48,42,0,6,47,43,0,3,47,49,0,0,47,-1,0,-1,49,-1,0,-1,47,-1,0,-1,48,-1,0,-1
61,marmeleiro,cating,82,8,37,25,5,3,37,25,5,4,35,22,5,4,31,24,0,0,31,24,3,0,35,23,3,0,36,23,1,0,34,23,0,0,35,23,0,0,34,23,0,0
61,marmeleiro,aroeira,82,82,36,30,12,7,36,30,11,7,37,27,10,7,38,27,1,0,38,28,2,1,38,27,2,0,38,27,2,0,38,27,2,0,37,27,0,0,37,27,0,0
72,marmeleiro,angico,82,82,46,13,15,6,46,13,8,5,44,12,13,5,45,12,7,1,45,12.5,5,0,44,12,3,0,45,12,2,0,45,12,2,0,45,11,0,0,45,12,0,0
72,marmeleiro,cating,82,82,26,50,3,6,26,50,3,6,33,48,3,3,34,48,0,0,34,49,0,2,34,27,2,0,35,49,0,1,35,49,0,0,39,49,0,0,34,49,0,0
72,marmeleiro,aroeira,82,82,32,29,17,9,32,29,16,8,33,26,16,7,32,28,7,0,33,28,0,0,33,28,1,3,33,28,1,0,33,29,0,0,-1,28,-1,0,-1,28,-1,0
62,mofumbo,angico,82,82,34,53,8,6,34,53,8,0,32,54,9,0,34,56,7,0,34,-1,6,-1,35,-1,7,-1,35,-1,7,-1,34,-1,8,-1,35,-1,0,-1,35,-1,0,-1
62,mofumbo,cating,60,82,29,21,2,3,29,21,2,1,32,18,2,4,36,18,1,2,33,19,1,3,33,18,1,2,34,18,0,2,38,18,0,0,36,14,0,0,34,15,0,0
62,mofumbo,aroeira,82,25,32,34,13,10,32,34,11,9,39,32,11,9,41,30,11,0,40,32,2,1,40,31,2,0,41,30,0,0,41,32,0,1,31,32,0,0,41,32,0,0
71,mofumbo,angico,82,82,29,25,6,6,29,25,5,6,28,24,5,5,30,24,3,2,30,25,3,1,-1,24,-1,1,-1,24,-1,1,-1,24,-1,0,-1,24,-1,0,-1,23,-1,0
71,mofumbo,cating,82,82,29,21,3,3,29,21,3,3,29,20,3,3,28,20,0,3,28,20,1,3,28,18,2,3,28,20,0,2,28,20,0,3,27,18,2,0,28,20,0,0
71,mofumbo,aroeira,33,82,43,40,12,10,43,40,11,10,44,40,12,10,43,39,1,1,42,40,0,1,42,40,0,1,43,39,1,1,43,40,0,0,43,39,0,0,-1,-1,-1,-1
60,mofumbo,angico,82,82,52,27,16,24,52,27,12,24,52,25,9,15,49,24,3,0,55,27,2,1,51,27,1,0,-1,24,-1,0,-1,25,-1,0,-1,27,-1,0,-1,22,-1,0
60,mofumbo,cating,82,82,23,20,5,6,23,20,5,4,21,20,5,5,20,20,5,0,22,20,4,0,20,20,2,0,20,20,1,0,22,20,0,0,-1,21,-1,0,-1,20,-1,0
60,mofumbo,aroeira,39,82,38,32,9,13,38,32,8,13,36,29,8,14,35,30,0,0,25,-1,0,-1,35,-1,0,-1,35,-1,0,-1,35,-1,0,-1,36,-1,1,-1,35,-1,0,-1
137,mofumbo,angico,60,82,33,29,9,8,33,29,9,8,34,26,8,6,31,28,4,4,32,28,4,4,33,30,1,0,33,-1,1,-1,33,-1,0,-1,33,-1,0,-1,34,-1,0,-1
137,mofumbo,cating,82,25,24,27,3,2,24,27,3,3,23,26,3,3,22,25,3,3,23,25,3,3,23,26,2,3,23,25,2,2,23,25,0,0,23,25,0,0,-1,-1,-1,-1
137,mofumbo,aroeira,82,39,38,29,8,10,38,29,9,8,38,28,8,8,39,28,7,8,-1,28,-1,6,-1,20,-1,0,-1,29,-1,0,-1,29,-1,0,-1,29,-1,0,-1,28,-1,0
119,mofumbo,angico,75,75,24,19,11,3,24,19,12,3,23,18,8,3,24,29,6,3,23,20,6,3,24,20,1,0,26,20,0,0,18,20,0,0,-1,20,-1,0,-1,20,-1,0
119,mofumbo,cating,25,82,24,21,4,2,24,21,3,2,23,22,2,2,23,20,2,2,25,20,2,2,25,26,0,0,23,20,0,1,24,-1,0,-1,24,-1,0,-1,22,-1,0,-1
119,mofumbo,aroeira,60,82,33,27,16,9,33,27,16,9,34,27,14,8,31,23,11,8,34,26,6,5,34,29,0,0,34,26,0,0,34,26,0,0,34,26,0,0,34,25,0,0
69,mororo,angico,82,46,30,24,15,3,30,24,13,2,31,23,10,2,31,23,0,1,31,25,7,3,31,22,3,4,32,24,2,3,31,23.5,1,3,32,24,0,2,32,24,0,2
69,mororo,cating,82,82,20,15,4,1,20,15,4,1,21,14,4,3,20,14,4,2,20,14,3,2,20,14,3,1,22,14,3,2,21,24,2,2,21,14,0,1,22,14,0,1
69,mororo,aroeira,82,82,43,38,9,13,43,38,8,12,44,37,9,14,44,37,6,0,42,39,2,2,42,37,2,2,42,37,1,2,42,38,1,1,42,38,0,0,42,38,0,0
79,mororo,angico,82,82,12,33,6,9,12,33,4,6,12,32,4,4,13,30,2,2,12,31,2,1,12,29,2,1,10,31,2,1,11,-1,0,-1,10,-1,0,-1,10,-1,0,-1
79,mororo,cating,82,82,31,30,6,5,31,30,6,4,29,27,4,2,29,28,0,1,30,30,0,0,29,30,2,0,30,29,0,0,28,-1,0,-1,28,-1,0,-1,31,-1,0,-1
79,mororo,aroeira,82,46,35,34,11,10,35,34,11,8,35,35,11,5,34,33,0,3,34,35,1,1,35,34,1,1,33.5,34,1,1,25,35,1,1,35,34,0,0,35,34,1,0
84,mororo,angico,82,46,33,31,6,6,33,31,4,4,32,31,4,4,31,31,3,3,30,31,0,2,31,32,0,2,31,32,0,0,31,31.5,0,0,32,32,0,0,32,31,0,0
84,mororo,cating,82,82,26,15,2,4,26,15,2,4,25,15,2,4,26,15,0,3,26,16,0,3,26,14,0,2,26,15,0,0,25,15,0,0,-1,15,-1,0,-1,15,-1,0
84,mororo,aroeira,82,82,37,42,12,12,37,42,12,12,36,41,12,12,35,42,4,4,35,42,3,4,35,42,3,2,36,42,2,1,36,42,2,1,34,42,0,1,23,42,0,0
152,mororo,angico,60,82,31,37,6,9,31,37,5,10,30,37,4,11,30,37,0,0,30,38,0,0,30,38,0,0,-1,38,-1,0,-1,38,-1,0,-1,39,-1,0,-1,38,-1,0
152,mororo,cating,82,82,25,36,2,6,25,36,3,6,24,36,3,4,24,34,3,0,26,36,0,0,26,36,0,0,25,36,0,0,25,36,0,0,26,36,0,0,-1,36,-1,0
152,mororo,aroeira,39,82,30,30,14,14,30,30,12,9,29,31,11,11,29,30,3,4,29,31,3,1,29,31,3,0,28,31,2,0,27,31,1,0,-1,31,-1,0,-1,31,-1,0
93,mororo,angico,75,82,39,23,17,11,39,23,16,5,37,24,13,6,39,24,3,0,38,24,4,4,39,25,2,0,40,20,1,1,39,24,1,0,40,-1,0,-1,39,-1,0,-1
93,mororo,cating,60,82,68,30,9,7,68,30,7,6,69,34,7,6,63,34,4,5,63,34,3,7,65,33,2,3,65,33,2,1,64,32,1,2,64,33,0,0,63,33,0,0
93,mororo,aroeira,82,60,27,29,6,9,27,29,6,9,26,37,6,9,30,38,5,1,28,38.5,1,0,28,38,2,0,29,38,1,0,28,38,1,0,29,28,1,0,30,38,1,0
52,paubranco,angico,82,82,30,35,10,12,30,35,8,11,29,35,8,4,30,34,2,6,29,35,2,3,30,35,2,1,30,-1,2,-1,29,-1,0,-1,29,-1,0,-1,28,-1,0,-1
52,paubranco,cating,82,82,46,21,10,4,46,21,9,4,50,20,8,4,51,16,1,2,51,20,2,2,51,20,4,2,49,19,2,0,52,19,0,0,53,18,0,0,50,17,0,0
52,paubranco,aroeira,82,39,32,43,11,10,32,43,10,10,32,44,10,10,31,40,0,8,29,44,0,1,32,42,0,1,31,42,0,1,31,42,0,0,30,41,0,0,31,40,0,0
28,paubranco,angico,82,82,35,25,4,13,35,25,3,10,33,24,2,9,31,23,2,7,35,23,2,3,-1,23,-1,2,-1,23,-1,2,-1,23,-1,0,-1,22,-1,0,-1,21,-1,0
28,paubranco,cating,82,82,25,30,4,2,25,30,4,2,28,29,4,2,27,29,4,2,27,31,3,1,28,30,3,1,27,29,0,0,25,30,2,0,26,30,0,0,26,30,0,0
28,paubranco,aroeira,33,82,34,14,21,8,34,24,17,9,34,23,16,8,32,23,0,8,34,25,0,4,34,25,0,1,33,24,0,0,34,24,0,0,35,25,2,0,34,22,0,0
110,paubranco,angico,82,82,41,37,15,10,41,37,12,10,42,35,8,10,42,34,5,4,41,36,3,4,41,35,2,0,40,36,0,0,43,35,0,0,44,35,0,0,42,34,0,0
110,paubranco,cating,82,82,16,40,2,2,16,40,2,2,7,31,2,1,17,32,1,1,15,33,1,2,10,30,1,2,17,32,1,0,17,32,0,0,17,33,0,0,16,32,0,0
110,paubranco,aroeira,82,82,31,26,13,11,31,26,12,10,33,32,12,10,35,32,9,8,32,34,2,6,44,25,1,4,34,32,1,2,35,32,1,2,33,32,0,0,-1,31,-1,0
33,paubranco,angico,82,82,27,40,7,4,27,40,8,5,26,42,4,4,20,41,0,2,25,42,0,1,-1,42,-1,1,-1,41,-1,0,-1,41.5,-1,0,-1,42,-1,0,-1,42,-1,0
33,paubranco,cating,75,82,17,30,2,3,17,30,2,3,15,27,2,3,16,30,2,0,14,29,2,0,1,30,2,0,15,29,2,0,14,29,2,0,16,30,0,0,7,30,0,0
33,paubranco,aroeira,33,82,31,18,11,32,31,18,0,20,30,30,0,10,-1,30,-1,0,-1,32,-1,2,-1,33,-1,0,-1,32,-1,0,-1,32,-1,0,-1,31,-1,0,-1,33,-1,0
146,paubranco,angico,82,82,66,32,25,2,66,32,2,3,67,31,2,2,60,33,1,2,61,-1,0,-1,31,-1,6,-1,66,-1,0,-1,67,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
146,paubranco,cating,16,82,25,30,2,3,25,30,2,3,22,33,3,3,23,31,2,3,23,30,2,3,25,30,1,0,-1,34,-1,0,-1,34,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
146,paubranco,aroeira,60,25,41,41,12,9,41,41,12,8,39,38,11,0,37,-1,2,-1,40,-1,1,-1,39,-1,0,-1,39,-1,0,-1,39,-1,0,-1,39,-1,0,-1,37,-1,0,-1
101,pereiro,angico,39,60,33,34,13,9,33,34,12,8,31,32,11,4,31,32,5,2,32,34,3,2,33,32,0,0,32,32,0,0,32,33,0,0,31,34,0,0,33,32,0,0
101,pereiro,cating,82,16,23,31,4,3,23,31,5,3,20,32,5,1,22,32,5,1,21,33,5,1,23,34,4,1,22,33,4,1,20,33,0,0,21,-1,0,-1,20,-1,0,-1
101,pereiro,aroeira,82,82,35,35,8,10,35,35,8,10,35,41,8,9,35,37,8,9,35,36,4,6,33,36,2,2,34,36,2,3,35,37,1,1,34,37,0,0,34,37,0,0
82,pereiro,angico,82,60,58,51,16,13,58,51,12,10,56,49,15,8,57,49,9,8,56,50,9,3,57,48,5,1,58,49,1,0,58,50,0,1,57,49,0,0,58,50,0,1
82,pereiro,cating,82,82,21,28,1,4,21,28,1,4,21,27,1,4,21,27,1,4,20,28,1,3,21,27,1,3,19,25,0,3,20,29,0,1,18,-1,0,-1,20,-1,0,-1
82,pereiro,aroeira,82,82,33,39,18,20,33,39,16,19,34,38,18,26,33,40,13,5,33,40,5,3,33,40,4,2,32,41,1,1,32,41,1,0,32,40,1,0,32,-1,0,-1
66,pereiro,angico,82,60,28,32,8,7,28,32,9,6,31,31,10,7,28,-1,5,-1,29,-1,5,-1,29,-1,4,-1,28,-1,1,-1,27,-1,1,-1,29,-1,0,-1,-1,-1,-1,-1
66,pereiro,cating,82,75,26,38,2,4,26,38,3,4,34,39,3,1,31,39,3,1,32,39,3,1,32,40,3,0,32,39,2,0,32,40,3,0,33,38,0,0,32,-1,0,-1
66,pereiro,aroeira,75,16,32,33,9,7,32,33,8,8,34,30,9,9,33,31,7,0,33,30,3,1,33,30,2,1,32,30,1,1,33,30,1,1,34,31,0,0,33,30,0,0
129,pereiro,angico,82,75,35,44,8,7,35,44,9,7,33,42,9,6,32,43,8,0,35,43,7,0,34,43,7,0,34,44,3,0,33,43,0,0,33,-1,0,-1,33,-1,0,-1
129,pereiro,cating,82,82,32,13,6,4,32,13,6,4,31,11,6,4,28,13,4,2,31,12,4,3,32,13,0,0,32,12,0,0,32,12,0,0,31,-1,0,-1,31,-1,0,-1
129,pereiro,aroeira,82,60,30,37,12,9,30,37,11,10,29,35,12,10,28,40,9,9,31,38,4,4,30,37,2,1,31,38,1,0,32,29,1,0,33,39,3,0,31,37,1,0
147,pereiro,angico,82,60,38,33,8,14,38,33,7,16,35,21,6,15,35,22,6,14,37,22,6,12,38,22,5,12,37,20,3,10,36,21,1,11,39,21,0,9,38,21,0,7
147,pereiro,cating,82,82,16,31,2,3,16,31,2,4,15,28,2,3,15,31,2,3,18,30,2,2,18,30,0,2,17,30,2,2,16,30,2,2,17,30,1,0,17,30,0,0
147,pereiro,aroeira,82,82,46,38,12,8,46,38,11,6,44,33,11,6,40,27,9,6,44,33,9,3,43,32,9,3,44,32,4,3,43,32,3,4,42,33,4,3,43,33,0,0
32,umbu,angico,82,82,30,40,12,9,30,40,9,10,31,35,7,9,30,35,8,4,32,36,4,2,30,36,1,0,31,36,1,0,30,36,0,0,31,26,0,0,31,36,0,0
32,umbu,cating,82,82,24,33,4,5,24,33,3,5,24,33,3,5,24,36,2,0,25,37,0,0,24,37,0,0,24,37,0,0,25,37,0,0,25,37,0,0,25,-1,0,-1
32,umbu,aroeira,82,82,22,36,8,13,22,36,8,13,25,38,9,14,23,37,7,0,24,38,3,2,23,38,3,0,25,37,1,0,26,38,2,0,25,38,2,0,26,38,0,0
115,umbu,angico,82,75,24,38,20,8,24,38,17,7,26,36,16,6,28,37,9,6,28,37,6,1,28,33,4,0,29,38,0,0,29,29,0,0,28,38,0,0,28,37,0,0
115,umbu,cating,82,82,15,26,2,2,15,26,2,2,13,25,2,2,23,26,2,2,14,26,2,2,20,20,2,0,14,26,0,1,15,27,0,0,15,-1,0,-1,14,-1,0,-1
115,umbu,aroeira,82,82,25,28,7,11,25,28,7,12,24,31,9,11,24,31,6,12,24,30,5,9,33,39,1,3,24,30,1,3,25,30,1,3,25,31,0,2,25,30,0,2
158,umbu,angico,82,60,33,42,11,10,33,42,8,7,32,40,9,7,30,38,6,6,31,41,7,6,27,39,0,0,29,40,3,1,30,39,0,0,31,40,0,0,31,40,0,0
158,umbu,cating,82,82,25,30,5,3,25,30,2,2,27,32,2,2,26,30,2,2,28,31,1,1,24,26,0,2,28,31,1,0,28,31,1,0,30,32,1,0,-1,30,-1,0
158,umbu,aroeira,82,82,41,32,11,10,41,32,11,10,37,36,10,9,35,34,10,9,38,36.5,3,5,15,30,3,4,37,34,1,1,38,35,1,1,38,26,0,0,39,36,0,0
141,umbu,angico,75,82,41,33,11,2,41,33,10,2,40,34,10,2,38,32,10,2,41,34,10,2,42,33,0,0,41,32,0,0,42,34,0,0,42,34,0,0,-1,34,-1,0
141,umbu,cating,82,82,24,17,4,2,24,17,3,2,23,20,4,2,22,16,3,2,24,20,3,2,20,20,0,0,20,17,0,0,20,19,0,0,28,18,0,0,24,20,0,0
141,umbu,aroeira,75,82,35,39,9,13,35,39,9,12,30,39,9,14,34,38,9,11,34,39,6,10,33,39,4,3,33,38,3,3,33,38,2,3,35,39,1,2,34,38,0,0
143,umbu,angico,82,82,32,35,22,8,32,35,13,7,31,36,17,7,31,34,12,7,33,36,14,7,31,37,5,0,32,34,4,0,32,33,0,0,32,33,0,0,33,-1,0,-1
143,umbu,cating,82,82,25,21,2,3,25,21,2,3,20,19,2,3,20,19,2,0,20,19,2,0,41,19,2,0,21,20,1,0,22,20,2,0,18,20,0,0,18,20,0,0
143,umbu,aroeira,82,75,43,33,8,12,43,33,11,10,41,32,8,10,40,33,8,9,42,33,3,2,41,33,2,1,43,33,1,1,44,33,1,1,45,33,1,0,32,34,0,0
